Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,-8,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2002,1,1,0,30,9.1,1.48,0.053,0.64,0,0,0,0,7,9.1,0,0,0,0,0.246,100,166.74,0.88,0.12,988,1.2000000000000002,32,1.2000000000000002,0.0000,0.0000
2002,1,1,1,30,8.6,1.5,0.053,0.64,0,0,0,0,4,8.6,0,0,0,0,0.245,100,156.77,0.88,0.12,988,1.3,35,1.4000000000000001,0.0000,0.0000
2002,1,1,2,30,8.1,1.51,0.054,0.64,0,0,0,0,7,8.1,0,0,0,0,0.244,100,144.76,0.88,0.12,987,1.3,37,1.6,0.0000,0.0000
2002,1,1,3,30,7.800000000000001,1.5,0.056,0.64,0,0,0,0,7,7.7,0,0,0,0,0.243,99.39,132.37,0.89,0.12,987,1.3,42,1.8,0.0000,0.0000
2002,1,1,4,30,7.7,1.48,0.058,0.64,0,0,0,0,7,7.1000000000000005,0,0,0,0,0.243,96.3,120,0.9,0.12,987,1.4000000000000001,50,2.1,0.0000,0.0000
2002,1,1,5,30,7.800000000000001,1.48,0.057,0.64,0,0,0,0,7,6.6000000000000005,0,0,0,0,0.243,91.84,107.88,0.9,0.12,988,1.5,57,2.3000000000000003,0.0000,0.0000
2002,1,1,6,30,8.4,1.48,0.058,0.64,0,0,0,0,7,5.9,0,0,0,0,0.244,84.53,96.2,0.9,0.12,988,1.5,62,2.4000000000000004,0.0000,0.0000
2002,1,1,7,30,10.4,1.47,0.062,0.64,28,357,59,7,6,5.6000000000000005,19,0,7,19,0.243,72.23,85.04,0.91,0.12,989,1.6,65,2.8000000000000003,0.0000,0.0000
2002,1,1,8,30,12.8,1.45,0.067,0.64,58,656,225,0,6,5.9,100,11,0,103,0.243,62.940000000000005,75.19,0.92,0.12,989,1.7000000000000002,72,2.8000000000000003,5.0284,3.8630
2002,1,1,9,30,15.100000000000001,1.45,0.07,0.64,73,781,381,0,6,6.6000000000000005,163,23,0,172,0.243,56.95,66.8,0.92,0.12,989,1.8,93,2.1,9.0480,7.0314
2002,1,1,10,30,17,1.47,0.082,0.64,85,830,492,0,7,6.9,245,194,0,340,0.242,51.54,60.61,0.91,0.12,988,1.8,133,1.5,18.6767,14.5820
2002,1,1,11,30,18,1.47,0.089,0.64,92,849,550,0,7,7.4,201,462,0,450,0.241,49.78,57.35,0.92,0.12,988,1.8,173,1.4000000000000001,25.1740,19.6883
