Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,-8,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2004,1,1,0,30,8.6,1.21,0.078,0.64,0,0,0,0,0,2.6,0,0,0,0,0.276,65.82000000000001,166.75,0.9,0.12,988,1,90,1.1,0.0000,0.0000
2004,1,1,1,30,8.3,1.21,0.078,0.64,0,0,0,0,4,2,0,0,0,0,0.277,64.64,156.74,0.9,0.12,988,1,93,1.3,0.0000,0.0000
2004,1,1,2,30,7.800000000000001,1.21,0.073,0.64,0,0,0,1,7,1.4000000000000001,0,0,1,0,0.277,63.940000000000005,144.74,0.89,0.12,987,1,97,1.5,0.0000,0.0000
2004,1,1,3,30,7.6000000000000005,1.21,0.07,0.64,0,0,0,0,4,0.6000000000000001,0,0,0,0,0.275,61.32,132.34,0.89,0.12,987,1,100,1.6,0.0000,0.0000
2004,1,1,4,30,7.6000000000000005,1.22,0.067,0.64,0,0,0,0,7,-0.1,0,0,0,0,0.273,58.26,119.98,0.89,0.12,988,1,103,1.6,0.0000,0.0000
2004,1,1,5,30,7.5,1.22,0.066,0.64,0,0,0,0,4,-0.5,0,0,0,0,0.272,56.95,107.86,0.89,0.12,988,1.1,107,1.7000000000000002,0.0000,0.0000
2004,1,1,6,30,7.6000000000000005,1.23,0.063,0.64,0,0,0,0,3,-0.5,0,0,0,0,0.27,56.59,96.18,0.89,0.12,989,1.1,110,1.7000000000000002,0.0000,0.0000
2004,1,1,7,30,8.8,1.23,0.065,0.64,28,349,59,7,7,0.2,28,1,7,28,0.267,54.67,85.03,0.9,0.12,990,1.3,117,1.5,0.0000,0.0000
2004,1,1,8,30,10.700000000000001,1.22,0.069,0.64,58,657,226,0,7,1.8,115,20,0,120,0.263,54.27,75.19,0.9,0.12,991,1.4000000000000001,129,1.4000000000000001,5.8583,4.5006
2004,1,1,9,30,12.100000000000001,1.24,0.07100000000000001,0.64,73,784,382,0,7,2.6,197,61,0,221,0.26,52.09,66.81,0.9,0.12,991,1.5,153,1.4000000000000001,11.6247,9.0337
2004,1,1,10,30,13,1.1400000000000001,0.082,0.64,86,830,493,0,6,3.3000000000000003,215,28,0,229,0.256,51.67,60.63,0.9,0.12,990,1.6,187,1.7000000000000002,12.5778,9.8201
2004,1,1,11,30,13.600000000000001,1.19,0.082,0.64,89,858,552,0,7,4.2,210,475,0,466,0.253,52.99,57.38,0.89,0.12,990,1.6,208,2.2,26.0651,20.3849
2004,1,1,12,30,14.200000000000001,1.23,0.082,0.64,89,855,547,0,0,4.7,89,855,0,547,0.25,52.76,57.58,0.89,0.12,989,1.7000000000000002,216,2.6,30.5639,23.9011
2004,1,1,13,30,14.600000000000001,1.23,0.114,0.64,95,786,473,1,8,5.2,172,616,1,469,0.25,53.14,61.2,0.88,0.12,989,1.7000000000000002,218,2.9000000000000004,25.6699,20.0350
2004,1,1,14,30,14.200000000000001,1.24,0.105,0.64,81,720,354,0,7,5.4,184,64,0,209,0.25,55.33,67.67,0.88,0.12,989,1.8,219,2.9000000000000004,10.9168,8.4764
2004,1,1,15,30,12.8,1.22,0.10400000000000001,0.64,62,567,197,7,8,5.7,126,72,7,143,0.25,61.97,76.26,0.89,0.12,989,1.8,221,2.2,6.9203,5.3060
2004,1,1,16,30,10.9,1.2,0.1,0.64,24,213,38,7,7,6.5,30,3,7,31,0.251,74.08,86.21000000000001,0.9,0.12,989,1.9000000000000001,224,1.5,0.0000,0.0000
2004,1,1,17,30,9.8,1.18,0.093,0.64,0,0,0,0,3,7.300000000000001,0,0,0,0,0.253,84.49,97.49000000000001,0.9,0.12,990,1.9000000000000001,228,1.3,0.0000,0.0000
2004,1,1,18,30,9.5,1.1500000000000001,0.09,0.64,0,0,0,0,7,8.1,0,0,0,0,0.253,90.88,109.23,0.91,0.12,990,1.9000000000000001,227,1.1,0.0000,0.0000
2004,1,1,19,30,9.5,1.11,0.093,0.64,0,0,0,0,7,8.6,0,0,0,0,0.253,94.39,121.39,0.92,0.12,990,1.9000000000000001,219,1,0.0000,0.0000
2004,1,1,20,30,9.700000000000001,1.09,0.094,0.64,0,0,0,0,7,8.9,0,0,0,0,0.253,94.69,133.77,0.92,0.12,990,1.8,211,0.7000000000000001,0.0000,0.0000
2004,1,1,21,30,9.9,1.09,0.091,0.64,0,0,0,0,7,8.9,0,0,0,0,0.252,93.64,146.14000000000001,0.92,0.12,990,1.8,198,0.5,0.0000,0.0000
2004,1,1,22,30,9.9,1.09,0.093,0.64,0,0,0,0,7,8.8,0,0,0,0,0.25,93.03,158.04,0.92,0.12,989,1.7000000000000002,174,0.5,0.0000,0.0000
2004,1,1,23,30,9.8,1.09,0.089,0.64,0,0,0,0,7,8.700000000000001,0,0,0,0,0.249,92.92,167.47,0.92,0.12,989,1.8,151,0.7000000000000001,0.0000,0.0000
2004,1,2,0,30,9.700000000000001,1.09,0.083,0.64,0,0,0,0,7,8.6,0,0,0,0,0.248,93.04,166.73,0.93,0.12,989,1.8,142,0.9,0.0000,0.0000
2004,1,2,1,30,9.600000000000001,1.1,0.091,0.64,0,0,0,0,7,8.5,0,0,0,0,0.249,93.15,156.79,0.93,0.12,989,1.9000000000000001,144,1.1,0.0000,0.0000
2004,1,2,2,30,9.600000000000001,1.11,0.089,0.64,0,0,0,0,4,8.5,0,0,0,0,0.249,92.81,144.79,0.93,0.12,989,2,148,1.2000000000000002,0.0000,0.0000
2004,1,2,3,30,9.600000000000001,1.11,0.083,0.64,0,0,0,0,4,8.4,0,0,0,0,0.25,92.32000000000001,132.4,0.93,0.12,988,2,157,1.3,0.0000,0.0000
2004,1,2,4,30,9.700000000000001,1.09,0.101,0.64,0,0,0,0,1,8.3,0,0,0,0,0.251,91.09,120.03,0.9400000000000001,0.12,988,2.1,167,1.6,0.0000,0.0000
2004,1,2,5,30,9.700000000000001,1.09,0.101,0.64,0,0,0,0,7,8.4,0,0,0,0,0.253,91.48,107.91,0.9400000000000001,0.12,988,2.1,172,1.8,0.0000,0.0000
2004,1,2,6,30,9.8,1.09,0.088,0.64,0,0,0,0,7,8.5,0,0,0,0,0.253,91.71000000000001,96.22,0.9500000000000001,0.12,989,2.2,173,2.1,0.0000,0.0000
2004,1,2,7,30,10.5,1.08,0.101,0.64,32,256,54,7,4,8.700000000000001,8,0,7,8,0.253,88.89,85.06,0.9500000000000001,0.12,989,2.2,172,2.7,0.0000,0.0000
2004,1,2,8,30,11.200000000000001,1.07,0.08600000000000001,0.64,63,603,217,0,4,9.1,7,0,0,7,0.253,86.8,75.2,0.9400000000000001,0.12,989,2.2,173,3.3000000000000003,0.3417,0.2625
2004,1,2,9,30,11.700000000000001,1.06,0.066,0.64,73,769,376,0,4,9.4,35,0,0,35,0.251,85.7,66.8,0.9400000000000001,0.12,989,2.2,178,3.7,1.8412,1.4308
2004,1,2,10,30,12.100000000000001,1.01,0.085,0.64,89,809,487,0,4,9.700000000000001,33,0,0,33,0.249,85.10000000000001,60.58,0.9500000000000001,0.12,988,2.2,187,3.9000000000000004,1.8131,1.4156
2004,1,2,11,30,12.3,1,0.069,0.64,86,853,547,0,4,10,90,0,0,90,0.248,86.06,57.31,0.9400000000000001,0.12,987,2.3000000000000003,196,4.1000000000000005,5.0358,3.9386
2004,1,2,12,30,12.5,0.97,0.055,0.64,81,868,547,0,4,10.4,50,0,0,50,0.247,87.19,57.480000000000004,0.9500000000000001,0.12,986,2.3000000000000003,207,4.2,2.7952,2.1860
2004,1,2,13,30,12.600000000000001,0.89,0.084,0.64,89,799,475,0,4,10.8,131,0,0,131,0.248,89.04,61.08,0.9500000000000001,0.12,986,2.4000000000000004,217,4.1000000000000005,7.1754,5.6007
2004,1,2,14,30,12.600000000000001,0.92,0.068,0.64,73,750,360,0,4,11.200000000000001,74,0,0,74,0.249,91,67.54,0.9400000000000001,0.12,985,2.4000000000000004,227,3.9000000000000004,3.8694,3.0048
2004,1,2,15,30,12.200000000000001,0.9400000000000001,0.057,0.64,54,625,204,0,4,11.3,49,0,0,49,0.251,94.06,76.12,0.9400000000000001,0.12,985,2.4000000000000004,239,3.5,2.3739,1.8206
2004,1,2,16,30,11.5,0.97,0.07100000000000001,0.64,25,248,42,7,4,11,7,0,7,7,0.254,96.99000000000001,86.08,0.9500000000000001,0.13,985,2.3000000000000003,250,2.8000000000000003,0.0000,0.0000
2004,1,2,17,30,10.700000000000001,0.99,0.069,0.64,0,0,0,0,1,10.600000000000001,0,0,0,0,0.256,99.16,97.35000000000001,0.9500000000000001,0.13,985,2.2,260,2.3000000000000003,0.0000,0.0000
2004,1,2,18,30,10.4,1,0.063,0.64,0,0,0,0,1,10,0,0,0,0,0.257,97.27,109.09,0.9500000000000001,0.13,986,2,267,2.3000000000000003,0.0000,0.0000
2004,1,2,19,30,10.200000000000001,1.02,0.07200000000000001,0.64,0,0,0,0,1,9.600000000000001,0,0,0,0,0.257,96.09,121.25,0.9500000000000001,0.13,986,1.9000000000000001,272,2.4000000000000004,0.0000,0.0000
2004,1,2,20,30,9.9,1.04,0.069,0.64,0,0,0,0,4,9.3,0,0,0,0,0.257,95.93,133.63,0.9400000000000001,0.13,986,1.7000000000000002,278,2.5,0.0000,0.0000
2004,1,2,21,30,9.5,1.06,0.06,0.64,0,0,0,0,1,8.8,0,0,0,0,0.258,95.51,146,0.93,0.13,986,1.5,285,2.3000000000000003,0.0000,0.0000
2004,1,2,22,30,8.8,1.09,0.06,0.64,0,0,0,0,4,8.1,0,0,0,0,0.259,95.12,157.9,0.93,0.13,985,1.3,291,2.1,0.0000,0.0000
2004,1,2,23,30,8.1,1.1300000000000001,0.057,0.64,0,0,0,0,1,7.1000000000000005,0,0,0,0,0.261,93.63,167.34,0.92,0.13,985,1.1,297,2.1,0.0000,0.0000
2004,1,3,0,30,7.6000000000000005,1.16,0.052000000000000005,0.64,0,0,0,0,0,6.2,0,0,0,0,0.262,91.15,166.71,0.91,0.13,985,1,302,2.1,0.0000,0.0000
2004,1,3,1,30,6.9,1.19,0.052000000000000005,0.64,0,0,0,0,0,5.5,0,0,0,0,0.263,90.74,156.83,0.91,0.13,985,1,308,2.2,0.0000,0.0000
2004,1,3,2,30,6.2,1.24,0.05,0.64,0,0,0,0,0,4.800000000000001,0,0,0,0,0.263,90.77,144.85,0.91,0.13,985,0.9,313,2.2,0.0000,0.0000
2004,1,3,3,30,5.6000000000000005,1.29,0.049,0.64,0,0,0,0,0,4.3,0,0,0,0,0.265,91.46000000000001,132.46,0.9,0.13,985,0.8,318,2.3000000000000003,0.0000,0.0000
